"date_","continent","location","population","new_people_vaccinated_smoothed","cumsum_vac"
"2020-06-12","Asia","Afghanistan",39835428,0,0.0
"2020-06-13","Asia","Afghanistan",39835428,0,0.0
"2020-06-14","Asia","Afghanistan",39835428,0,0.0
"2020-06-15","Asia","Afghanistan",39835428,0,0.0
"2020-06-16","Asia","Afghanistan",39835428,0,0.0
"2020-06-17","Asia","Afghanistan",39835428,0,0.0
"2020-06-18","Asia","Afghanistan",39835428,0,0.0
"2020-06-19","Asia","Afghanistan",39835428,0,0.0
"2020-06-20","Asia","Afghanistan",39835428,0,0.0
"2020-06-21","Asia","Afghanistan",39835428,0,0.0
"2020-06-22","Asia","Afghanistan",39835428,0,0.0
"2020-06-23","Asia","Afghanistan",39835428,0,0.0
"2020-06-24","Asia","Afghanistan",39835428,0,0.0
"2020-06-25","Asia","Afghanistan",39835428,0,0.0
"2020-06-26","Asia","Afghanistan",39835428,0,0.0
"2020-06-27","Asia","Afghanistan",39835428,0,0.0
"2020-06-28","Asia","Afghanistan",39835428,0,0.0
"2020-06-29","Asia","Afghanistan",39835428,0,0.0
"2020-06-30","Asia","Afghanistan",39835428,0,0.0
"2020-07-01","Asia","Afghanistan",39835428,0,0.0
"2020-07-02","Asia","Afghanistan",39835428,0,0.0
"2020-07-03","Asia","Afghanistan",39835428,0,0.0
"2020-07-04","Asia","Afghanistan",39835428,0,0.0
"2020-07-05","Asia","Afghanistan",39835428,0,0.0
"2020-07-06","Asia","Afghanistan",39835428,0,0.0
"2020-07-07","Asia","Afghanistan",39835428,0,0.0
"2020-07-08","Asia","Afghanistan",39835428,0,0.0
"2020-07-09","Asia","Afghanistan",39835428,0,0.0
"2020-07-10","Asia","Afghanistan",39835428,0,0.0
"2020-07-11","Asia","Afghanistan",39835428,0,0.0
"2020-07-12","Asia","Afghanistan",39835428,0,0.0
"2020-07-13","Asia","Afghanistan",39835428,0,0.0
"2020-07-14","Asia","Afghanistan",39835428,0,0.0
"2020-07-15","Asia","Afghanistan",39835428,0,0.0
"2020-07-16","Asia","Afghanistan",39835428,0,0.0
"2020-07-17","Asia","Afghanistan",39835428,0,0.0
"2020-07-18","Asia","Afghanistan",39835428,0,0.0
"2020-07-19","Asia","Afghanistan",39835428,0,0.0
"2020-07-20","Asia","Afghanistan",39835428,0,0.0
"2020-07-21","Asia","Afghanistan",39835428,0,0.0
"2020-07-22","Asia","Afghanistan",39835428,0,0.0
"2020-07-23","Asia","Afghanistan",39835428,0,0.0
"2020-07-24","Asia","Afghanistan",39835428,0,0.0
"2020-07-25","Asia","Afghanistan",39835428,0,0.0
"2020-07-26","Asia","Afghanistan",39835428,0,0.0
"2020-07-27","Asia","Afghanistan",39835428,0,0.0
"2020-07-28","Asia","Afghanistan",39835428,0,0.0
"2020-07-29","Asia","Afghanistan",39835428,0,0.0
"2020-07-30","Asia","Afghanistan",39835428,0,0.0
"2020-07-31","Asia","Afghanistan",39835428,0,0.0
"2020-08-01","Asia","Afghanistan",39835428,0,0.0
"2020-08-02","Asia","Afghanistan",39835428,0,0.0
"2020-08-03","Asia","Afghanistan",39835428,0,0.0
"2020-08-04","Asia","Afghanistan",39835428,0,0.0
"2020-08-05","Asia","Afghanistan",39835428,0,0.0
"2020-08-06","Asia","Afghanistan",39835428,0,0.0
"2020-08-07","Asia","Afghanistan",39835428,0,0.0
"2020-08-08","Asia","Afghanistan",39835428,0,0.0
"2020-08-09","Asia","Afghanistan",39835428,0,0.0
"2020-08-10","Asia","Afghanistan",39835428,0,0.0
"2020-08-11","Asia","Afghanistan",39835428,0,0.0
"2020-08-12","Asia","Afghanistan",39835428,0,0.0
"2020-08-13","Asia","Afghanistan",39835428,0,0.0
"2020-08-14","Asia","Afghanistan",39835428,0,0.0
"2020-08-15","Asia","Afghanistan",39835428,0,0.0
"2020-08-16","Asia","Afghanistan",39835428,0,0.0
"2020-08-17","Asia","Afghanistan",39835428,0,0.0
"2020-08-18","Asia","Afghanistan",39835428,0,0.0
"2020-08-19","Asia","Afghanistan",39835428,0,0.0
"2020-08-20","Asia","Afghanistan",39835428,0,0.0
"2020-08-21","Asia","Afghanistan",39835428,0,0.0
"2020-08-22","Asia","Afghanistan",39835428,0,0.0
"2020-08-23","Asia","Afghanistan",39835428,0,0.0
"2020-08-24","Asia","Afghanistan",39835428,0,0.0
"2020-08-25","Asia","Afghanistan",39835428,0,0.0
"2020-08-26","Asia","Afghanistan",39835428,0,0.0
"2020-08-27","Asia","Afghanistan",39835428,0,0.0
"2020-08-28","Asia","Afghanistan",39835428,0,0.0
"2020-08-29","Asia","Afghanistan",39835428,0,0.0
"2020-08-30","Asia","Afghanistan",39835428,0,0.0
"2020-08-31","Asia","Afghanistan",39835428,0,0.0
"2020-09-01","Asia","Afghanistan",39835428,0,0.0
"2020-09-02","Asia","Afghanistan",39835428,0,0.0
"2020-09-03","Asia","Afghanistan",39835428,0,0.0
"2020-09-04","Asia","Afghanistan",39835428,0,0.0
"2020-09-05","Asia","Afghanistan",39835428,0,0.0
"2020-09-06","Asia","Afghanistan",39835428,0,0.0
"2020-09-07","Asia","Afghanistan",39835428,0,0.0
"2020-09-08","Asia","Afghanistan",39835428,0,0.0
"2020-09-09","Asia","Afghanistan",39835428,0,0.0
"2020-09-10","Asia","Afghanistan",39835428,0,0.0
"2020-09-11","Asia","Afghanistan",39835428,0,0.0
"2020-09-12","Asia","Afghanistan",39835428,0,0.0
"2020-09-13","Asia","Afghanistan",39835428,0,0.0
"2020-09-14","Asia","Afghanistan",39835428,0,0.0
"2020-09-15","Asia","Afghanistan",39835428,0,0.0
"2020-09-16","Asia","Afghanistan",39835428,0,0.0
"2020-09-17","Asia","Afghanistan",39835428,0,0.0
"2020-09-18","Asia","Afghanistan",39835428,0,0.0
"2020-09-19","Asia","Afghanistan",39835428,0,0.0
"2020-09-20","Asia","Afghanistan",39835428,0,0.0
"2020-09-21","Asia","Afghanistan",39835428,0,0.0
"2020-09-22","Asia","Afghanistan",39835428,0,0.0
"2020-09-23","Asia","Afghanistan",39835428,0,0.0
"2020-09-24","Asia","Afghanistan",39835428,0,0.0
"2020-09-25","Asia","Afghanistan",39835428,0,0.0
"2020-09-26","Asia","Afghanistan",39835428,0,0.0
"2020-09-27","Asia","Afghanistan",39835428,0,0.0
"2020-09-28","Asia","Afghanistan",39835428,0,0.0
"2020-09-29","Asia","Afghanistan",39835428,0,0.0
